Name,Title,Voice_Line,Release_Date,Primary_Role,Secondary_Role,Lane,Hp,Hp_Regen,Mana
Bruno,Mech Protector,Primary Role,2016,Marksman,,Gold Lane,2522,6,439
Carmilla,Shadow of Twilight,True love is like blood,2020-01-17,Support,,Roamer,2528,7.8,430
Cecilion,Embrace of Night,Only love and night are everlasting.,2020-02-12,Mage,,Mid,2456,6.8,700
Chang'e,Moon Palace Immortal,Primary Role,2018-05-30,Mage,,Mid,2301,6.8,505
Chou,Kung-Fu Boy,Primary Role,2016,Fighter,,Gold Lane,2708,7.8,0
Claude,Partners in Crime,"Come on Dexter, it's our showtime!",2018-08-07,Marksman,,Gold Lane,2370,8,450
Clint,Wild Wanderer,Chivalry is dead. And I will revive it.,2016,Marksman,,Gold Lane,2530,7.2,450
Cyclops,Starsoul Magician,Primary Role,2017,Mage,,Mid,2521,7.6,500
Diggie,Timekeeper,Primary Role,2017-11-19,Support,,Roamer,2468,7.2,490
Dyrroth,Prince of the Abyss,Primary Role,2019-06-25,Fighter,,EXP Lane,2758,8.2,0
Esmeralda,Astrologer,Secondary Role,2019-04-02,Mage,Tank,EXP Lane,2573,7.2,502
Edith,Ancient Guard,"I'm the Priestess of Primal Lightning, the hunter of all the evil gods!",2021-12-24,Tank,Marksman,EXP Lane,2549,9,0
Estes,Moon Elf King,Primary Role,12-04-2017,Support,,Roamer,2221,7.2,545
Eudora,Lightning Weaver,You should be ashamed for not trusting yourself.,2016,Mage,,Mid,2524,7.6,468
Fanny,Blade Dancer,"Sir, what's your command?",2016,Assassin,,Jungler,2526,6.6,100
Faramis,Soul Binder,Secondary Role,2019-05-18,Support,Mage,Roamer,2543,6.8,500
Floryn,The Budding Hope,Let's make the whole world green and lively!,2021-09-22,Support,,Roamer,2401,7.6,550
Franco,Frozen Warrior,I love the smell of gunpowder in the mornin'!,2016,Tank,Support,Roamer,2709,9.2,440
Fredrinn,Rogue Appraiser,See value in me? *Humph* You should.,2022-08-12,Tank,Fighter,EXP Lane,2709,6.4,0
Freya,Valkyrie,I am a daughter of Northern Vale. I swear to protect it till my last breath.,2016,Fighter,,EXP Lane,2801,9.8,0
Gatotkaca,Iron Steel,Secondary Role,2017,Tank,Fighter,Roamer,2629,8.4,0
Gloo,Swamp Spirits,You are facing a cluster.,2021-04-16,Tank,,Roamer,2819,12.4,440
Gord,Professor of the Mystic,Primary Role,2016,Mage,,Mid,2478,6.4,570
Granger,Death Chanter,Primary Role,2019-04-19,Marksman,,Gold Lane,2370,5.4,0
Grock,Fortress Titan,Primary Role,2017,Tank,,Roamer,2819,8.4,430
Guinevere,Ms. Violet,Primary Role,2019-02-21,Fighter,,Gold Lane,2528,7.8,0
Gusion,Holy Blade,I'm bound by nothing – be it family or destiny.,2018,Assassin,,Jungler,2578,7.8,460
Hanabi,The Scarlet Sakura,"Hanabi, sannjyo!",2018-04-17,Marksman,,Gold Lane,2510,6,390
Hanzo,Akuma Ninja,Primary Role,2018-12-04,Assassin,,Jungler,2594,7,0
Harith,Time Traveler,Primary Role,2018-11,Mage,,Mid,2701,7.2,490
Harley,Mage Genius,Time for me to make my entrance!,2017-08-04,Mage,Assassin,Mid,2501,7.2,490
Hayabusa,Crimson Shadow,"Hayabusa, sannjyo!",2016,Assassin,,Jungler,2429,7.4,100
Helcurt,Shadowbringer,Primary Role,2017,Assassin,,Jungler,2599,7,440
Hilda,Power of Megalith,The real warrior is here.,2017,Fighter,Tank,EXP Lane,2789,8.4,0
Hylos,Grand Warden,Primary Role,2017,Tank,,Roamer,2909,18.4,430
Irithel,Jungle Heart,Primary Role,2017-08-15,Marksman,,Gold Lane,2540,7,0
Jawhead,Steel Sweetheart,Primary Role,2018,Fighter,,EXP Lane,2658,7.8,430
Johnson,Mustang,Primary Role,2017,Tank,,Roamer,2809,8.4,0
Julian,Scarlet Raven,"I, am more than a weapon.",2022-05-24,Fighter,Mage,EXP Lane,2878,7.8,420
Kadita,Ocean Goddess,Secondary Role,2018,Mage,Assassin,Mid,2491,7.2,495
Kagura,Onmyouji Master,Urana tte age you ka!,2016,Mage,,Mid,2556,7,519
Kaja,Nazar King,Secondary Role,2018,Fighter,Support,EXP Lane,2609,10.4,400
Karina,Shadow Blade,Primary Role,2016,Assassin,,Jungler,2633,7.8,431
Karrie,Lost Star,Primary Role,2017-07-05,Marksman,,Gold Lane,2578,8,440
Khaleed,Desert Scimitar,Sand rises when I give the word!,2020-08-06,Fighter,,EXP Lane,2778,7,0
Khufra,Desert Tyrant,Secondary Role,2019,Tank,Support,Roamer,2770,9.4,460
Kimmy,Jetpack Rebel,Secondary Role,2018-10,Marksman,Mage,Gold Lane,2450,8,100
Lancelot,Blade of Roses,Thorns remain should petals fall.,2017,Assassin,,Jungler,2549,7,450
Lapu-Lapu,Courageous Blade,Primary Role,23-05-2017,Fighter,,EXP Lane,2628,7,0
Layla,Energy Gunner,Ready? Go!,2016,Marksman,,Gold Lane,2500,5.4,424
Leomord,The Oathkeeper,Primary Role,2018,Fighter,,EXP Lane,2738,7,0
Lesley,Deadly Sniper,Secondary Role,2018-01,Marksman,Assassin,Gold Lane,2490,7.2,100
Ling,Cyan Finch,Still swords run deep.,2019,Assassin,,Jungler,2578,7.8,100
Lolita,Steel Elf,Secondary Role,2016,Support,Tank,Roamer,2579,9.6,480
Lunox,Twilight Goddess,Primary Role,2018,Mage,,Mid,2621,6.8,540
Luo_Yi,Yin-yang Geomancer,Gaze the stars and seek your path.,2020-05-16,Mage,,Mid,2601,7.2,520
Lylia,Little Wizard,Primary Role,2019-07-23,Mage,,Mid,2501,6.8,500
Mathilda,Swift Plume,Always on the way!,2020-12-12,Support,Assassin,Roamer,2561,6.8,430
Martis,Ashura King,Primary Role,2018,Fighter,,EXP Lane,2738,7,0
Masha,Wild-oats Fist,The fire of battle never extinguishes.,2019-09-17,Fighter,Tank,EXP Lane,2043,3.8,0
Melissa,Cursed Needle,NEED SOME STITCHES? I CAN HELP! *GIGGLES*,2022-02-22,Marksman,,Gold Lane,2460,6.6,448
Minotaur,Son of Minos,Secondary Role,2016,Tank,Support,Roamer,2859,8.8,0
Minsitthar,Courageous Warrior,Primary Role,2018,Fighter,,EXP Lane,2698,7.4,380
Miya,Moonlight Archer,I am the moonlight that breaks through the darkness!,22-09-2016,Marksman,,Gold Lane,2524,6,445
Moskov,Spear of Quiescence,Primary Role,20-03-2017,Marksman,,Gold Lane,2455,6.4,420
Nana,Sweet Leonin,Adventure's waiting for us!,2016,Mage,Support,Mid,2501,6.8,510
Natan,Spacetime Walker,It is in despair that I see the fondest hopes.,2021-07-23,Marksman,,Gold Lane,2530,6,443
Natalia,Bright Claw,Primary Role,2016-12,Assassin,,Jungler,2639,7,486
Odette,Swan Princess,Love outshines the golden crown!,2017-09-29,Mage,,Mid,2491,6.8,495
Pharsa,Wings of Vengeance,Primary Role,2017,Mage,,Mid,2421,6.8,490
Phoveus,Shadow of Dread,Tremble in my presence.,2021-05-11,Fighter,,EXP Lane,2828,10.8,430
Popol_and_Kupa,Icefield Companions,Primary Role,2020-04-21,Marksman,,Gold Lane,2425,6,445
Paquito,The Heavenly Fist,A punch for a punch!,2021-01-15,Fighter,,EXP Lane,2798,9.8,0
Rafaela,Wings of Holiness,Healing prayers for you!,2016,Support,,Roamer,2441,7.2,545
Roger,Dire Wolf Hunter,Secondary Role,2017-06-25,Fighter,Marksman,Jungler,2730,7.2,450
Ruby,Little Red Hood,Secondary Role,2017,Fighter,Tank,EXP Lane,2646,7.8,453
Selena,Abyssal Witch,Secondary Role,2018-07-18,Assassin,Mage,Jungler,2401,6.8,490
Silvanna,Imperial Knightess,Primary Role,2019-12-17,Fighter,,EXP Lane,2868,7.8,430
Terizla,Executioner,Primary Role,2019-06-04,Fighter,,EXP Lane,2728,10.8,430
Thamuz,Lord Lava,Primary Role,2018,Fighter,,EXP Lane,2758,7.4,0
Uranus,Aethereal Defender,Primary Role,2018,Tank,,EXP Lane,2489,6.4,455
Vale,Windtalker,Primary Role,2019-01-29,Mage,,Mid,2401,6.8,490
Valentina,Prophetess of the Night,"I didn't cure the pain, I harness it.",2021,Mage,,Mid,2701,7.2,510
Valir,Son of Flames,Primary Role,2018,Mage,,Mid,2516,6.8,495
Vexana,Shimmer of Hope,Primary Role,2017,Mage,,Mid,2481,7.6,490
Wanwan,Agile Tiger,"To me, fun is all that matters.",2019-11-26,Marksman,,Gold Lane,2540,5.4,424
Xavier,Defier of Light,This time ... the choice is mine.,2022-03-22,Mage,,Mid,2616,6.8,670
X.Borg,Firaga Armor,Primary Role,2019-08-09,Fighter,,EXP Lane,918,7.8,0
Yin,Martial Genius,"I AM YIN, AND WILL ALWAYS BE, NO MATTER WHAT!",2022-01-18,Fighter,,EXP Lane,2578,9.8,0
Yi_Sun-Shin,Paenlong Legend,Secondary Role,2017,Assassin,Marksman,Jungler,2570,7.2,438
Yu_Zhong,Black Dragon,"I would rather betray the world, than let the world betray me.",2020-06-19,Fighter,,EXP Lane,2698,11.8,0
Yve,Astrowarden,"Among the planes exists the equilibrium, which I was made for.",2021-02-12,Mage,,Mid,2651,7.2,510
Zhask,Planes Dominator,"Grovel before your King, human!",2017-11-27,Mage,,Mid,2401,6.8,490
Zilong,Spear of Dragon,The Dragonborn is back!,2016,Fighter,Assassin,Gold Lane,2689,7,405
